epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,821.189,0.83108,0.7113,1.13874,0.51492,0.60088,0.57907,0.42848,1.16669,1.26892,1.52991,0.000707498,0.000707498,0.000707498
104,829.103,0.7721,0.61723,1.15089,0.66302,0.60088,0.60738,0.45673,1.18778,1.24134,1.57351,0.000700424,0.000700424,0.000700424
105,837.242,0.69059,0.55168,1.084,0.80067,0.5463,0.61965,0.47439,1.16712,1.18867,1.55233,0.000693351,0.000693351,0.000693351
106,849.123,0.7328,0.56003,1.07458,0.8353,0.58594,0.64302,0.49023,1.19835,1.23287,1.59319,0.000686277,0.000686277,0.000686277
107,861.114,0.70377,0.61244,1.06301,0.8353,0.58594,0.64302,0.49023,1.19835,1.23287,1.59319,0.000679204,0.000679204,0.000679204
108,869.694,0.76637,0.62384,1.15593,0.78638,0.53311,0.6249,0.46801,1.16679,1.28169,1.56567,0.00067213,0.00067213,0.00067213
109,877.651,0.8636,0.60274,1.06811,0.74529,0.521,0.61933,0.4635,1.16918,1.33795,1.55726,0.000665057,0.000665057,0.000665057
110,885.923,0.75018,0.59527,1.06532,0.59609,0.61452,0.60086,0.45624,1.17364,1.42599,1.55238,0.000657983,0.000657983,0.000657983
111,893.922,0.8587,0.69735,1.24476,0.59609,0.61452,0.60086,0.45624,1.17364,1.42599,1.55238,0.000650909,0.000650909,0.000650909
112,901.738,0.75999,0.55059,1.03904,0.61701,0.59319,0.60815,0.46619,1.15158,1.3589,1.53548,0.000643836,0.000643836,0.000643836
113,909.621,0.85555,0.64057,1.10794,0.69591,0.52355,0.61211,0.47642,1.16783,1.41124,1.5496,0.000636762,0.000636762,0.000636762
114,917.357,0.77857,0.60893,1.08414,0.72854,0.48931,0.58753,0.45927,1.15413,1.54589,1.53588,0.000629689,0.000629689,0.000629689
